name,files,tags,Slang,tree_sitter_verilog,Verilator,Yosys,Odin,sv_parser,Icarus,Sv2v_zachjs
utd-sv_tlu_misctl,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/tlu_misctl.v,utd-sv,False,True,False,True,False,False,False,False
utd-sv_ccx_iob_rptr,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ccx_iob_rptr.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_ccx_spc_rpt,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ccx_spc_rpt.v,utd-sv,True,True,False,True,True,False,False,False
utd-sv_cpx_buf_pm_even,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/cpx_buf_pm_even.v,utd-sv,True,True,False,True,True,False,False,False
utd-sv_rep_jbi_sc0_2,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/rep_jbi_sc0_2.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_sctag_snpctl,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_snpctl.v,utd-sv,False,True,False,True,False,False,False,True
utd-sv_std-6.1.2-contassign2,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/std-6.1.2-contassign2.v,utd-sv,False,True,True,False,False,True,False,False
utd-sv_pcx_buf_p0_even,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/pcx_buf_p0_even.v,utd-sv,True,True,False,True,True,False,False,False
utd-sv_pcx_dp4,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/pcx_dp4.v,utd-sv,False,True,False,True,False,False,False,False
utd-sv_pad_efc,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/pad_efc.v,utd-sv,True,True,False,True,False,False,False,True
utd-sv_fpu_div_exp_dp,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/fpu_div_exp_dp.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_fpu_in2_gt_in1_3b,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/fpu_in2_gt_in1_3b.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_ff_dram_sc_bank1,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ff_dram_sc_bank1.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_rep_jbi_sc1_2,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/rep_jbi_sc1_2.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_ff_dram_sc_bank2,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ff_dram_sc_bank2.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_tlu_incr64,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/tlu_incr64.v,utd-sv,True,True,False,True,True,False,False,True
utd-sv_fpu_cnt_lead0_lvl1,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/fpu_cnt_lead0_lvl1.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_cpx_buf_p0_even,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/cpx_buf_p0_even.v,utd-sv,True,True,False,True,True,False,False,False
utd-sv_ctu_sync_header,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ctu_sync_header.v,utd-sv,False,True,False,True,False,False,False,True
utd-sv_pad_ddr1,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/pad_ddr1.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_fpu_rptr_groups,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/fpu_rptr_groups.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_fpu_div,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/fpu_div.v,utd-sv,False,True,False,False,False,True,False,False
utd-sv_lsu_tlbdp,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/lsu_tlbdp.v,utd-sv,False,True,False,True,False,False,False,True
